episode,step,position,risk_level,action,reward,gestational_week
1,1,"(0, 0)",LOW,EXERCISE_PROGRAM,5.537169016654728,13
1,2,"(0, 1)",LOW,EXERCISE_PROGRAM,2.194329293724982,15
1,3,"(0, 1)",LOW,EXERCISE_PROGRAM,2.5173717554371184,16
1,4,"(0, 1)",LOW,EXERCISE_PROGRAM,2.545717279606122,18
1,5,"(1, 1)",LOW,EXERCISE_PROGRAM,-0.16010020986438223,19
1,6,"(1, 2)",LOW,EXERCISE_PROGRAM,2.760362873818434,21
1,7,"(1, 1)",MODERATE,EXERCISE_PROGRAM,5.305051182222124,22
1,8,"(1, 1)",MODERATE,EXERCISE_PROGRAM,5.325182993404918,23
1,9,"(2, 1)",MODERATE,EXERCISE_PROGRAM,4.0482814991087555,24
1,10,"(2, 1)",MODERATE,EXERCISE_PROGRAM,3.684419871183536,25
1,11,"(1, 1)",MODERATE,EXERCISE_PROGRAM,3.152426184380079,26
1,12,"(1, 2)",MODERATE,EXERCISE_PROGRAM,2.4075493434051047,27
1,13,"(1, 3)",MODERATE,EXERCISE_PROGRAM,3.5687231124280725,29
1,14,"(2, 3)",MODERATE,SPECIALIST_REFERRAL,3.301846542852917,30
1,15,"(2, 4)",HIGH,EXERCISE_PROGRAM,-0.1407424080591655,32
1,16,"(3, 5)",HIGH,SPECIALIST_REFERRAL,5.736916905108493,33
1,17,"(4, 6)",HIGH,EXERCISE_PROGRAM,2.0944540335245323,35
1,18,"(5, 7)",CRITICAL,EXERCISE_PROGRAM,3.220423097682736,36
1,19,"(6, 7)",CRITICAL,EXERCISE_PROGRAM,3.0217195615877337,38
1,20,"(7, 7)",CRITICAL,EXERCISE_PROGRAM,2.9905356809378407,40
2,1,"(0, 0)",LOW,EXERCISE_PROGRAM,2.0257237526898657,14
2,2,"(0, 0)",LOW,EXERCISE_PROGRAM,4.239088433753825,16
2,3,"(1, 0)",LOW,EXERCISE_PROGRAM,3.3037164378501496,17
2,4,"(1, 1)",LOW,EXERCISE_PROGRAM,2.9923527955585287,19
2,5,"(0, 1)",LOW,EXERCISE_PROGRAM,2.281966522308177,21
2,6,"(0, 1)",MODERATE,EXERCISE_PROGRAM,4.19997591154003,22
2,7,"(0, 0)",MODERATE,EXERCISE_PROGRAM,5.080367957648349,23
2,8,"(0, 1)",MODERATE,EXERCISE_PROGRAM,3.928164842645053,24
2,9,"(1, 1)",MODERATE,EXERCISE_PROGRAM,5.278449123929389,25
2,10,"(1, 0)",MODERATE,EXERCISE_PROGRAM,4.211954485563496,27
2,11,"(2, 0)",MODERATE,EXERCISE_PROGRAM,3.755358878054153,29
2,12,"(1, 0)",MODERATE,EXERCISE_PROGRAM,4.740574293055522,30
2,13,"(1, 0)",HIGH,EXERCISE_PROGRAM,3.636278109151155,31
2,14,"(2, 1)",HIGH,EXERCISE_PROGRAM,1.0067138892429885,33
2,15,"(3, 2)",HIGH,EXERCISE_PROGRAM,1.1302605025270709,34
2,16,"(4, 3)",HIGH,EXERCISE_PROGRAM,1.4253266068062298,35
2,17,"(5, 4)",CRITICAL,EXERCISE_PROGRAM,3.9288745786584784,37
2,18,"(6, 5)",CRITICAL,EXERCISE_PROGRAM,3.522150565057819,38
2,19,"(7, 6)",CRITICAL,EXERCISE_PROGRAM,4.92987413687602,40
3,1,"(0, 0)",LOW,EXERCISE_PROGRAM,2.951035429341504,14
3,2,"(0, 0)",LOW,EXERCISE_PROGRAM,4.937263201481391,16
3,3,"(0, 1)",LOW,EXERCISE_PROGRAM,3.008402248486835,18
3,4,"(0, 2)",LOW,EXERCISE_PROGRAM,4.17783482520151,19
3,5,"(0, 1)",LOW,SPECIALIST_REFERRAL,0.5972213403525581,20
3,6,"(0, 0)",MODERATE,EXERCISE_PROGRAM,5.022513195152365,22
3,7,"(0, 0)",MODERATE,EXERCISE_PROGRAM,4.976371984183153,24
3,8,"(1, 0)",MODERATE,EXERCISE_PROGRAM,5.465809850795401,26
3,9,"(2, 0)",MODERATE,EXERCISE_PROGRAM,5.0701652483258215,28
3,10,"(1, 0)",MODERATE,EXERCISE_PROGRAM,3.878365797066024,29
3,11,"(2, 0)",MODERATE,EXERCISE_PROGRAM,2.7762597337074904,31
3,12,"(3, 1)",HIGH,EXERCISE_PROGRAM,2.4828676230385196,33
3,13,"(4, 2)",HIGH,EXERCISE_PROGRAM,1.9921969817095548,34
3,14,"(5, 3)",HIGH,EXERCISE_PROGRAM,1.8174774132640912,35
3,15,"(6, 4)",CRITICAL,EXERCISE_PROGRAM,4.009839917356291,37
3,16,"(7, 5)",CRITICAL,EXERCISE_PROGRAM,3.705566323389352,38
3,17,"(7, 6)",CRITICAL,EXERCISE_PROGRAM,1.9108072300210328,40
4,1,"(0, 0)",LOW,EXERCISE_PROGRAM,2.566850797856843,13
4,2,"(0, 0)",LOW,EXERCISE_PROGRAM,1.0256912947300978,15
4,3,"(1, 0)",LOW,EXERCISE_PROGRAM,2.857706456166638,17
4,4,"(1, 0)",LOW,EXERCISE_PROGRAM,3.253473791087436,18
4,5,"(1, 1)",LOW,EXERCISE_PROGRAM,4.264134817161732,20
4,6,"(1, 1)",MODERATE,EXERCISE_PROGRAM,2.9731865538127686,21
4,7,"(2, 1)",MODERATE,EXERCISE_PROGRAM,4.074890616992606,22
4,8,"(2, 0)",MODERATE,EXERCISE_PROGRAM,4.7915330848014355,24
4,9,"(1, 0)",MODERATE,EXERCISE_PROGRAM,5.347541585090987,26
4,10,"(1, 1)",MODERATE,EXERCISE_PROGRAM,4.83785674234388,27
4,11,"(1, 0)",MODERATE,EXERCISE_PROGRAM,3.9416827579445792,29
4,12,"(1, 1)",MODERATE,EXERCISE_PROGRAM,4.629184291193068,30
4,13,"(0, 1)",HIGH,EXERCISE_PROGRAM,0.904021095788178,31
4,14,"(1, 2)",HIGH,EXERCISE_PROGRAM,4.143784445969288,33
4,15,"(2, 3)",HIGH,EXERCISE_PROGRAM,1.8003019480762115,34
4,16,"(3, 4)",HIGH,EXERCISE_PROGRAM,0.9272626789686818,35
4,17,"(4, 5)",CRITICAL,EXERCISE_PROGRAM,1.5314211738160486,36
4,18,"(5, 6)",CRITICAL,EXERCISE_PROGRAM,2.8260238490711216,38
4,19,"(6, 7)",CRITICAL,EXERCISE_PROGRAM,3.197299509116433,39
4,20,"(7, 7)",CRITICAL,EXERCISE_PROGRAM,3.023571097139039,40
